16,ሥራን በቡድን ለማከናወን ቋንቋ ትልቁን ሚና ይጫወታል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
17,በድርጅት የሚዘጋጅ የመረጃ ቅፅ የሚይዘው፡-,ሀ. መነሻና መድረሻ ቦታ,ለ. የተጠቀመው የነዳጅ መጠን,ሐ. የተጠቀመው የነዳጅ መጠን,መ. ሁሉም መልስ ነው,,መ
18,በሥራ አካባቢ ግጭት እንዳይነሳ ከሚረዱ ጉዳዮች ውስጥ የሚካተተው የቱ ነው?,ሀ. ፍጹማዊነት,ለ. መደራደር,,,,መ
19,የሥራ መመሪያ አንድ ቡድን ሲዋቀር ትኩረት ሊደረግበት የሚገባ ጉዳይ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
20,የውሳኔ አሰጣጥ መርህ ችግር ሲፈጠር ችግሩን ለማስወገድ የሚረዱ መንገዶች ይባላል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
21,የአንድ ህብረተሰብ ባህል የሰውን ማንነት ለመቅረፅ አይረዳም,ሀ. እውነት,ለ. ሀሰት,,,,ለ
22,የውሳኔ አሰጣጥ መርህና የድርጅት መተዳደሪያ ደንብ የሰው ልጅ የመረዳት ችሎታ ውጤቶች ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
23,በሰዎች መካከል የሚፈጠር ግጭት በሥራ ላይ ትልቅ እንቅፋት እንዲፈጠር ያደርጋል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
24,የግንኙነት ጉዳዮች በሰዎች መካከል መልካም ግንኙነት ለመፍጠር ምንም ፋይዳ የላቸውም፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
25,የመደማመጥና መቻቻል አለመኖር የአንድን ቡድን መሰረታዊ አንድነት ያናጋል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
26,በሁለት አካላት መካከል የሚከሰቱትን ግጭት ለማብረድ ዓይነተኛ መፍተሄው ከአካባቢው መራቅ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
27,በሁለት የተለያዩ አካላት መካከል የሀሳብ ወይም መረጃ ልውውጥ ይባላል፡፡,ሀ. ስነ ምግባር,ለ. ግንኝነት,ሐ. ግንኝነት,መ. የግንኝንት መርህ,,መ
28,ከአንድ ቦታ ወደ ሌላ ቦታ ለመንቀሳቀስ የትራንስፖርት አገልግሎት የሚጠቀም ሰው ይባላል፡፡,ሀ. የሥራ ባልደርባ,ለ. ስነምግባር,ሐ. ግንኝነት,መ. ተሳፋሪ,,መ
29,በትራንስፖርት አገልግሎት ዘርፍ ውስጥ የሥራ ተያያዥነት ያላቸው ሰዎች ይባላል፡፡,ሀ. የሥራ ባልደረባ,ለ. ተሳፋሪ,ሐ. ግንኝነት,መ. መልሱ የለም,,ሀ
30,አጠቃላይ የሰው ልጅ የመረዳት ችሎታ እና እውቀትን ከሌሎች ጋር የመጋራት ክህሎት ይባላል፡፡,ሀ. የግንኙነት መርሆች,ለ. የግንኙነት አቅጣጫዎች,ሐ. የግንኙነት ጉዳዬች,መ. ሁሉም መልስ ነው,,ሀ
31,አንድ ሰው አካባቢው ካሉት ሰዎች ጋር መልካም ግንኝነት እንዲፈጥር የሚረዳ መሣሪያ ይባላል፡፡,ሀ. የግንኙነት መርሆች,ለ. የግንኙነት ጉዳዬች,ሐ. የግንኙነት አቅጣጫዎች,መ. መልሱ አልተሰጠም,,ሐ
32,የግንኝነት መርህ ማለት የንግግር ነፃነት መርህ ማለት ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
33,ፊደላትና በምስል የተደገፈ ቻርት ለግንኙነት የሚረዱ ጉዳዮች ናቸው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
34,ከሚከተሉት ውስጥ ለአካል ጉዳተኞች በቀላሉ ለማስተማር የሚረዳ የቱ ነው*,ሀ. የተቀዱ ድምጾችን ማዳመጥ,ለ. ቁልፎችን በመጫን ድምጽን ማዳመጥ,ሐ. የቴሌቪዥን እስክሪን በመንካት ምስልን ማየት,መ. ሁሉም መልስ ነው,,መ
35,ለግንኝት እንቅፋት ሊሆኑ ከሚችሉ ጉዳዩች ዉስጥ የማይካተተዉ የቱ ነው*,ሀ. እድሜ,ለ. የትምህርት ደረጃ,ሐ. *ታ,መ. የባህል መመሳሰል,,መ
36,የመገናኛ መሣሪያዎች ከምንላቸው ውስጥ የሚካተተው የቱ ነው*,ሀ. ስልክ,ለ. ሰው,ሐ. ፖስታ,መ. ሁሉም መልስ ነው,,መ
37,የባህል ልዩነት በሁለት ሰዎች መካከል ሊኖር የሚችለዉን መግባባት ሊያሰናክል ይችላል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
38,በሁለት አካላት መካከል የሚኖረውን መልካም መግባባት ለማዳበር የመገናኛ መሣሪያዎች የሚኖራቸዉ አስተዎ*ኦ አነስተኛ ነዉ፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
39,በሰውነት እንቅስቃሴ የሚገለ* የምልክት gንg እንደመገናኛ መሳሪያ ያገለግላል፡፡,ሀ. እዉነት,ለ. ሀሰት,,,,ሀ
40,በህዝብ ትራንስፖርት አገልግሎት ዘርፍ ውስጥ ከሌሎች ጋር መልካም የሆነ ግንኙነት ለመመስረትና ተግባብቶ ለመስራት የድርጅት መመሪያና ፖሊሲን ጠንቅቆ መረዳት ያስፈልጋል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
41,አንድ በትራንስፖርት ዘርፍ የተሰማራ ግለሰብ ከቦታ ወደ ቦታ በሚንቀሳቀስበት ጊዜ የአከባቢውን ህብረተሰብ ጠንቅቆ መረዳት ሊገጥመው የሚችለውን ችግር ያቃልላል፡፡,ሀ. gንg,ለ. ባህል,ሐ. ሀይማኖት,መ. ሁሉም መልስ ነው,,መ
42,በግንኝነት ወቅት ከሌላው ወገን ጋር አለመግባባት ቢፈጠር ግጭቱን ለማብረድ አንድ አሽከርካሪ መውሰድ ካለበት እርምጃዎች ውስጥ የማይካተተው የቱ ነው?,ሀ. እራስን መቆጣጠር,ለ. ከአከባቢዉ ሳይርቁ ሁኔታዉ መከታተል,ሐ. ሊያናድ የሚችሉ ቃላትን ከመሰንዘር መቆጠብ,መ. መልሱ አልተሰጠም,,ለ
43,በቡድን ሥራ ላይ ሥራዎችን ተከፋፍሎ መስራት ለሥራዎች መቀላጠፍና አብሮ የመሥራት ባህልን ለማዳበር ይረዳል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
44,gንg ስንል በአፍ ብቻ የሚነገር የመገናኛ መሣሪያ ነው፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ለ
45,በቡድን ሆኖ አንድ ሥራ ለማከናወን መJላት ያለበት መሠረታዊ ነጥብ በቡድን ውስጥ የሚካተተው ሰው፡፡,ሀ. ሥራው ጠንቅቆ ማወቅ ይጠበቅበታል,ለ. ተግባብቶና ተረዳድቶ መስራት የሚችል መሆን አለበት,ሐ. ለሥራው ተነሳሽነት ሊኖረው ይገባል,መ. ሁሉም መልስ ይሆናሉ,,መ
46,በአንድ የቡድን አባላት መካከል ያለውን መሠረታዊ አንድነት ሊያናጉ ከሚችሉ ጉዳዩች ውስጥ የማይከተተው የቱ ነው*,ሀ. ተደማምጦና ተቻችሎ መስራት,ለ. ከቡድኑ ውስጥ አንዱ/ ሁለቱ ማፈንገጥ,ሐ. የመቀናቀንና የመቅናት መንፈስ መኖር,መ. በቡዱኑ አባላት ዘንድ የተነሳሽነት አለመኖር,,ሀ
47,አንድ ቡድን በመጀመሪያ ሲዋቀር ትኩረት ሊደረግበት የሚገባው ጉዳይ አካል ያልሆነው የቱ ነው?,ሀ. ሥራው የሚፈጀው ጊዜ,ለ. የሥራ መመሪያ,ሐ. ገንዘብ,መ. መልሱ አልተሰጠም,,ሐ
48,በአንድ የሥራ ክንውን ወቅት ችግር ቢፈጠርና ችግሩን ለመቅረፍ የሚረዱ መንገዶች ይባላሉ፡፡,ሀ. የውሳኔ አሰጣጥ መርህ,ለ. የሥራ መምሪያ,ሐ. ችግር ማስወገጃ እቅዶች,መ. መልስ አልተሰጠም,,ሐ
